pi@ubuntu:~/swarm-ros$ tail -n 600 /home/pi/.pm2/logs/ai-flight-error.log 
[INFO] [1760434480.810132921] [ai_flight_node]: [tick 003474] /ai/action -> vx=+0.435, vy=-0.172, vz=+0.433, speed=+0.434   [24.73 ms]
[INFO] [1760434480.909998259] [ai_flight_node]: [tick 003475] /ai/action -> vx=+0.435, vy=-0.172, vz=+0.433, speed=+0.434   [24.94 ms]
[INFO] [1760434480.996485687] [ai_flight_node]: [tick 003476] /ai/action -> vx=+0.435, vy=-0.172, vz=+0.433, speed=+0.435   [11.05 ms]
[INFO] [1760434481.110683504] [ai_flight_node]: [tick 003477] /ai/action -> vx=+0.436, vy=-0.172, vz=+0.432, speed=+0.434   [25.74 ms]
[INFO] [1760434481.212449859] [ai_flight_node]: [tick 003478] /ai/action -> vx=+0.436, vy=-0.172, vz=+0.432, speed=+0.435   [27.46 ms]
[INFO] [1760434481.311573485] [ai_flight_node]: [tick 003479] /ai/action -> vx=+0.436, vy=-0.172, vz=+0.432, speed=+0.435   [26.20 ms]
[INFO] [1760434481.410284253] [ai_flight_node]: [tick 003480] /ai/action -> vx=+0.437, vy=-0.172, vz=+0.432, speed=+0.435   [25.23 ms]
[INFO] [1760434481.513600172] [ai_flight_node]: [tick 003481] /ai/action -> vx=+0.438, vy=-0.172, vz=+0.431, speed=+0.435   [28.26 ms]
[INFO] [1760434481.610610179] [ai_flight_node]: [tick 003482] /ai/action -> vx=+0.438, vy=-0.172, vz=+0.431, speed=+0.435   [25.62 ms]
[INFO] [1760434481.709915574] [ai_flight_node]: [tick 003483] /ai/action -> vx=+0.438, vy=-0.172, vz=+0.431, speed=+0.435   [24.69 ms]
[INFO] [1760434481.810677826] [ai_flight_node]: [tick 003484] /ai/action -> vx=+0.440, vy=-0.172, vz=+0.431, speed=+0.435   [25.63 ms]
[INFO] [1760434481.909946295] [ai_flight_node]: [tick 003485] /ai/action -> vx=+0.437, vy=-0.200, vz=+0.431, speed=+0.432   [24.75 ms]
[INFO] [1760434482.011013231] [ai_flight_node]: [tick 003486] /ai/action -> vx=+0.437, vy=-0.200, vz=+0.431, speed=+0.433   [25.96 ms]
[INFO] [1760434482.111216583] [ai_flight_node]: [tick 003487] /ai/action -> vx=+0.438, vy=-0.199, vz=+0.431, speed=+0.433   [26.20 ms]
[INFO] [1760434482.212998198] [ai_flight_node]: [tick 003488] /ai/action -> vx=+0.440, vy=-0.198, vz=+0.430, speed=+0.432   [27.94 ms]
[INFO] [1760434482.313145769] [ai_flight_node]: [tick 003489] /ai/action -> vx=+0.440, vy=-0.198, vz=+0.430, speed=+0.432   [28.02 ms]
[INFO] [1760434482.411241543] [ai_flight_node]: [tick 003490] /ai/action -> vx=+0.440, vy=-0.198, vz=+0.430, speed=+0.432   [26.24 ms]
[INFO] [1760434482.513865491] [ai_flight_node]: [tick 003491] /ai/action -> vx=+0.442, vy=-0.198, vz=+0.429, speed=+0.432   [28.82 ms]
[INFO] [1760434482.611986837] [ai_flight_node]: [tick 003492] /ai/action -> vx=+0.441, vy=-0.198, vz=+0.429, speed=+0.432   [26.74 ms]
