sample_time,observation_number,height_m,status,rc_throttle
2026-02-03T15:56:01.512580+00:00,1,0.0500,,
2026-02-03T15:56:01.712580+00:00,3,0.0500,,
2026-02-03T15:56:01.912580+00:00,5,0.0500,,
2026-02-03T15:56:02.112580+00:00,7,0.0500,,
2026-02-03T15:56:02.312580+00:00,9,0.0500,,
2026-02-03T15:56:02.512580+00:00,11,0.0500,,
2026-02-03T15:56:02.712580+00:00,13,0.0500,,
2026-02-03T15:56:02.912580+00:00,15,0.0500,,
2026-02-03T15:56:03.112580+00:00,17,0.0500,,
2026-02-03T15:56:03.312580+00:00,19,0.0500,,
2026-02-03T15:56:03.512580+00:00,21,0.0500,,
2026-02-03T15:56:03.712580+00:00,23,0.0500,,
2026-02-03T15:56:03.912580+00:00,25,0.0500,,
2026-02-03T15:56:04.112580+00:00,27,0.0500,,
2026-02-03T15:56:04.312580+00:00,29,0.0500,,
2026-02-03T15:56:04.512580+00:00,31,0.0500,,
2026-02-03T15:56:04.712580+00:00,33,0.0500,,
2026-02-03T15:56:04.912580+00:00,35,0.0500,,
2026-02-03T15:56:05.112580+00:00,37,0.0500,,
2026-02-03T15:56:05.312580+00:00,39,0.0500,,
2026-02-03T15:56:05.512580+00:00,41,0.0500,,
2026-02-03T15:56:05.712580+00:00,43,0.0500,,
2026-02-03T15:56:05.912580+00:00,45,0.0500,,
2026-02-03T15:56:06.112580+00:00,47,0.0500,,
2026-02-03T15:56:06.312580+00:00,49,0.0500,,
2026-02-03T15:56:06.512580+00:00,51,0.0500,,
2026-02-03T15:56:06.712580+00:00,53,0.0500,,
2026-02-03T15:56:06.912580+00:00,55,0.0500,,
2026-02-03T15:56:07.112580+00:00,57,0.0500,,
2026-02-03T15:56:07.312580+00:00,59,0.0500,,
2026-02-03T15:56:07.512580+00:00,61,0.0500,,
2026-02-03T15:56:07.712580+00:00,63,0.0500,,
2026-02-03T15:56:07.912580+00:00,65,0.0500,,
2026-02-03T15:56:08.112580+00:00,67,0.0500,,
2026-02-03T15:56:08.312580+00:00,69,0.0500,,
2026-02-03T15:56:08.512580+00:00,71,0.0500,,
2026-02-03T15:56:08.712580+00:00,73,0.0500,,
2026-02-03T15:56:08.912580+00:00,75,0.0500,,
2026-02-03T15:56:09.112580+00:00,77,0.0500,,
2026-02-03T15:56:09.312580+00:00,79,0.0500,,
2026-02-03T15:56:09.512580+00:00,81,0.0500,,
2026-02-03T15:56:09.712580+00:00,83,0.0500,,
2026-02-03T15:56:09.912580+00:00,85,0.0500,,
2026-02-03T15:56:10.112580+00:00,87,0.0500,,1000.0
2026-02-03T15:56:10.312580+00:00,89,0.0500,,1000.0
2026-02-03T15:56:10.512580+00:00,91,0.0500,,1000.0
2026-02-03T15:56:10.712580+00:00,93,0.0500,,1000.0
2026-02-03T15:56:10.912580+00:00,95,0.0500,,1000.0
2026-02-03T15:56:11.112580+00:00,97,0.0500,ARMING(18.9s) | CMD_TIMEOUT | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:11.312580+00:00,99,0.0500,ARMING(18.9s) | CMD_TIMEOUT | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:11.512580+00:00,101,0.0500,ARMING(18.9s) | CMD_TIMEOUT | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:11.712580+00:00,103,0.0500,ARMING(18.9s) | CMD_TIMEOUT | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:11.912580+00:00,105,0.0500,ARMING(18.9s) | CMD_TIMEOUT | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:12.112580+00:00,107,0.0500,ARMING(18.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:12.312580+00:00,109,0.0500,ARMING(18.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:12.512580+00:00,111,0.0500,ARMING(18.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:12.712580+00:00,113,0.0500,ARMING(18.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:12.912580+00:00,115,0.0500,ARMING(18.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:13.112580+00:00,117,0.0500,ARMING(17.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:13.312580+00:00,119,0.0500,ARMING(17.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:13.512580+00:00,121,0.0500,ARMING(17.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:13.712580+00:00,123,0.0500,ARMING(17.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:13.912580+00:00,125,0.0500,ARMING(17.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:14.112580+00:00,127,0.0500,ARMING(16.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:14.312580+00:00,129,0.0500,ARMING(16.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:14.512580+00:00,131,0.0500,ARMING(16.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:14.712580+00:00,133,0.0500,ARMING(16.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:14.912580+00:00,135,0.0500,ARMING(16.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:15.112580+00:00,137,0.0500,ARMING(15.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:15.312580+00:00,139,0.0500,ARMING(15.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:15.512580+00:00,141,0.0500,ARMING(15.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:15.712580+00:00,143,0.0500,ARMING(15.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:15.912580+00:00,145,0.0500,ARMING(15.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:16.112580+00:00,147,0.0500,ARMING(14.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:16.312580+00:00,149,0.0500,ARMING(14.0s) | CRUISE_DIRECTION_MODE,1000.0
2026-02-03T15:56:16.512580+00:00,151,0.0500,ARMING(14.0s) | CRUISE_DIRECTION_MODE,1000.0
